index,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence
0,Planet B,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,236440,46,0.353,0.00185,0.353,0.921,0.293,1,0.121,-5.289,0.0557,92.377,4,0.244
1,Mars For The Rich,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,251720,47,0.269,0.029,0.269,0.885,0.795,11,0.132,-5.938,0.0948,129.191,4,0.325
2,Organ Farmer,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,159080,41,0.407,0.0011,0.407,0.899,0.269,2,0.126,-6.238,0.115,115.005,4,0.142
3,Superbug,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,403333,43,0.277,0.0218,0.277,0.612,0.1,8,0.103,-6.417,0.0466,90.012,4,0.207
4,Venusian 1,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,200586,40,0.233,0.000426,0.233,0.904,0.4,1,0.248,-5.759,0.0687,81.608,4,0.357
5,Perihelion,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,191320,41,0.233,0.00694,0.233,0.933,0.642,6,0.101,-5.804,0.0572,95.972,3,0.42
6,Venusian 2,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,164386,40,0.351,9.12E-05,0.351,0.959,0.0446,2,0.171,-7.098,0.119,134.023,3,0.127
7,Self-Immolate,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,268520,42,0.307,0.00018,0.307,0.897,0.0126,2,0.0873,-6.491,0.216,158.925,4,0.175
8,Hell,Infest The Rats' Nest,King Gizzard & The Lizard Wizard,8/16/2019,219592,41,0.141,0.000289,0.141,0.946,0.0729,1,0.0463,-5.97,0.121,168.342,4,0.0388
9,Fishing For Fishies,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,301440,48,0.537,0.13,0.537,0.786,0.385,7,0.296,-6.653,0.0802,109.388,4,0.736
10,Boogieman Sam,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,281920,41,0.416,0.0686,0.416,0.753,0.179,2,0.357,-6.732,0.0563,173.825,4,0.525
11,The Bird Song,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,264960,43,0.447,0.0312,0.447,0.789,0.852,9,0.0934,-7.005,0.0508,123.924,4,0.651
12,Plastic Boogie,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,183400,38,0.404,0.00716,0.404,0.735,0.0595,11,0.586,-7.417,0.0518,180.319,5,0.373
13,The Cruel Millennial,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,296920,35,0.397,0.024,0.397,0.765,0.00342,2,0.2,-7.126,0.0411,90.752,3,0.674
14,Real's Not Real,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,220840,39,0.297,0.00172,0.297,0.762,0.555,11,0.408,-6.937,0.0428,159.685,3,0.592
15,This Thing,Fishing For Fishies,King Gizzard & The Lizard Wizard,4/26/2019,239880,38,0.607,0.0494,0.607,0.538,0.00147,6,0.307,-6.177,0.0591,149.954,4,0.652
